attempt_key,promoted_at,run_jsonl_path,output_dir,task_id,run_index,label,notes,headline
/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task1230_3x_xhigh_localworkspace_v2_20260401/raw_runs.jsonl::1230::1,2026-04-01T22:24:07.364910+00:00,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task1230_3x_xhigh_localworkspace_v2_20260401/raw_runs.jsonl,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task1230_3x_xhigh_localworkspace_v2_20260401,1230,1,legal_task1230_xhigh_localworkspace_v2,,False
/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task1230_3x_xhigh_localworkspace_v2_20260401/raw_runs.jsonl::1230::2,2026-04-01T22:24:07.364964+00:00,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task1230_3x_xhigh_localworkspace_v2_20260401/raw_runs.jsonl,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task1230_3x_xhigh_localworkspace_v2_20260401,1230,2,legal_task1230_xhigh_localworkspace_v2,,False
/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task1230_3x_xhigh_localworkspace_v2_20260401/raw_runs.jsonl::1230::3,2026-04-01T22:24:07.365000+00:00,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task1230_3x_xhigh_localworkspace_v2_20260401/raw_runs.jsonl,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task1230_3x_xhigh_localworkspace_v2_20260401,1230,3,legal_task1230_xhigh_localworkspace_v2,,False
/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_xhigh_localworkspace_v2_20260401/raw_runs.jsonl::13::1,2026-04-01T22:24:07.371636+00:00,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_xhigh_localworkspace_v2_20260401/raw_runs.jsonl,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_xhigh_localworkspace_v2_20260401,13,1,legal_task13_xhigh_localworkspace_v2,,False
/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_xhigh_localworkspace_v2_20260401/raw_runs.jsonl::13::2,2026-04-01T22:24:07.371719+00:00,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_xhigh_localworkspace_v2_20260401/raw_runs.jsonl,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_xhigh_localworkspace_v2_20260401,13,2,legal_task13_xhigh_localworkspace_v2,,False
/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_xhigh_localworkspace_v2_20260401/raw_runs.jsonl::13::3,2026-04-01T22:24:07.371784+00:00,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_xhigh_localworkspace_v2_20260401/raw_runs.jsonl,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_xhigh_localworkspace_v2_20260401,13,3,legal_task13_xhigh_localworkspace_v2,,False
/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_medium_localworkspace_v3_20260401/raw_runs.jsonl::13::1,2026-04-01T22:42:20.151616+00:00,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_medium_localworkspace_v3_20260401/raw_runs.jsonl,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_medium_localworkspace_v3_20260401,13,1,legal_task13_medium_localworkspace_v3,,False
/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_medium_localworkspace_v3_20260401/raw_runs.jsonl::13::2,2026-04-01T22:42:20.151738+00:00,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_medium_localworkspace_v3_20260401/raw_runs.jsonl,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_medium_localworkspace_v3_20260401,13,2,legal_task13_medium_localworkspace_v3,,False
/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_medium_localworkspace_v3_20260401/raw_runs.jsonl::13::3,2026-04-01T22:42:20.151800+00:00,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_medium_localworkspace_v3_20260401/raw_runs.jsonl,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task13_3x_medium_localworkspace_v3_20260401,13,3,legal_task13_medium_localworkspace_v3,,False
/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task1041_3x_medium_localworkspace_v3_20260401/raw_runs.jsonl::1041::1,2026-04-01T22:42:24.255559+00:00,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task1041_3x_medium_localworkspace_v3_20260401/raw_runs.jsonl,/home/connor/projects/economic-evals/outputs/openai_daytona_legal_task1041_3x_medium_localworkspace_v3_20260401,1041,1,legal_task1041_medium_localworkspace_v3,,False
